Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
662,"Goitre","","Thyromegaly
Struma
Goiter
Goitre
Goitre","","","Diagnosis","N/A","Super User","Super User"
663,"Hémorragie intracérébrale","","Stroke, hemorrhagic
hemorragia intracraneal
Hémorragie intracérébrale
Hémorragie intracérébrale
Intracerebral hemorrhage","","","Diagnosis","N/A","Super User","Super User"
664,"Syndrome thoracique aigu","","Syndrome thoracique aigu
ACS
STA
STA
Acute chest syndrome
Syndrome thoracique aigu","","","Diagnosis","N/A","Super User","Super User"
665,"Grippe, à virus de grippe aviaire identifié","","Influenza A/H5N1 epidemic
Avian influenza
Avian flu
Grippe, à virus de grippe aviaire identifié
influenza aviaria
Grippe, à virus de grippe aviaire identifié","","","Diagnosis","N/A","Super User","Super User"
666,"Intoxication alimentaire","","Toxicité, nourriture
Toxicity, food
Intoxication alimentaire
Intoxication alimentaire
Poisoning, food
Toxicité, nourriture
Food poisoning","","","Diagnosis","N/A","Super User","Super User"
667,"Obésité","","obesidad
Obesity
Obésité
Obésité","","","Diagnosis","N/A","Super User","Super User"
668,"Parasitose intestinale","","Intestinal Parasites
Parasitose intestinale
Parasitose intestinale
Intestinal worms","","","Diagnosis","N/A","Super User","Super User"
669,"Hémorragie sous-arachnoïdienne","","SAH
Subarachnoid haemorrhage
Hémorragie sous-arachnoïdienne
Hémorragie sous-arachnoïdienne
subarachnoïdale bloeding
Subarachnoid hemorrhage","","","Diagnosis","N/A","Super User","Super User"
670,"Hémorragie gastro-intestinale","","Hémorragie gastrique
Hémorragie gastro-intestinale, sans précision
Hemorrhage gastric
Hemorrhage intestinal
bloeding van het maagdarmkanaal
Hémorragie gastro-intestinale
Hémorragie gastro-intestinale, sans précision
Hémorragie intestinale
Hémorragie gastrique
Gastrointestinal hemorrhage
Hémorragie intestinale
GI hemorrhage
Hémorragie gastro-intestinale","","","Diagnosis","N/A","Super User","Super User"
671,"Syndrome de rubéole gestationnel","","síndrome de rubéola gestacional
Gestational rubella syndrome
Syndrome de rubéole congénitale
Syndrome de rubéole gestationnel
Syndrome de rubéole gestationnel
Congenital rubella syndrome
Syndrome de rubéole congénitale","","","Diagnosis","N/A","Super User","Super User"
672,"Anémie à hématies falciformes avec crises","","Anémie drépanocytaire avec crises
Sickle-Cell/Hb-C Disease with Crisis
Sickle cell crisis
Anémie drépanocytaire avec crises
Anémie à hématies falciformes avec crises
Maladie Hb-SS avec crise
Sickle-cell anemia with crisis
Sickle-cell anaemia with crisis
Maladie Hb-SS avec crise
Anémie à hématies falciformes avec crises","","","Diagnosis","N/A","Super User","Super User"
673,"Hémorragie sous-arachnoïdienne traumatique","","Traumatic subarachnoid hemorrhage
Hémorragie sous-arachnoïdienne traumatique
Traumatic intracranial subarachnoid hemorrhage
Hémorragie sous-arachnoïdienne traumatique","","","Diagnosis","N/A","Super User","Super User"
674,"Hémorragie sous-durale traumatique","","Hémorragie sous-durale traumatique
traumatische subdurale bloeding
Traumatic subdural hemorrhage
Hémorragie sous-durale traumatique","","","Diagnosis","N/A","Super User","Super User"
675,"Tumeur maligne","","Cancer
Neoplasm/cancer
Tumeur maligne
Tumeur maligne
Cancer
Malignant Neoplasm","","","Diagnosis","N/A","Super User","Super User"
676,"Lèpre","","Hansenosis
Hansen's disease
Lèpre
Lèpre
Leprosy","","","Diagnosis","N/A","Super User","Super User"
677,"Tumeur maligne de l'ovaire","","Tumeur maligne de l'ovaire
Ovarian cancer
Malignant tumor of ovary
Malignant neoplasm of ovary
Cancer de l'ovaire
Cancer de l'ovaire
Tumeur maligne de l'ovaire","","","Diagnosis","N/A","Super User","Super User"
678,"Morsure d'un chien","","Bite, dog
Morsure par chien
Morsure d'un chien
Dog bite
Morsure d'un chien
Morsure par chien","","","Diagnosis","N/A","Super User","Super User"
679,"Tumeur maligne de l'intestin","","Malignant tumor Of intestine
tumor maligno del intestino
Tumeur maligne de l'intestin
Tumeur maligne de l'intestin","","","Diagnosis","N/A","Super User","Super User"
680,"Fièvre hémorragique due au virus de la dengue","","Dengue haemorrhagic fever
Dengue hemorrhagic fever
Fièvre hémorragique due au virus de la dengue
fiebre hemorrágica dengue
Fièvre hémorragique due au virus de la dengue","","","Diagnosis","N/A","Super User","Super User"
681,"Douleur abdominale","","Douleur abdominale
Douleur abdominale
Abdominal pain","","","Symptom","N/A","Super User","Super User"
682,"Méningococcémie","","Meningococcal bacteraemia NOS
Meningococcemia
Méningococcémie
Meningococcaemia, unspecified
Méningococcémie","","","Diagnosis","N/A","Super User","Super User"
683,"Hernie inguinale","","Hernie inguinale
hernia inguinal
Inguinal hernia
Hernie inguinale","","","Diagnosis","N/A","Super User","Super User"
684,"Helminthiase","","Helminthiasis
Verminose
Helminthiase
Other helminthiases
Helminthiase
Verminose
Worm infestation","","","Diagnosis","N/A","Super User","Super User"
685,"Asthme persistant modéré","","Asthme persistant modéré
asma persistente moderada
Moderate persistent asthma
Asthme persistant modéré","","","Diagnosis","N/A","Super User","Super User"
686,"Xerophthalmie","","hipovitaminosis A con xeroftalmía
Xerophthalmie
Xerophthalmia
Xerophthalmie","","","Diagnosis","N/A","Super User","Super User"
687,"Hémorragie extra-durale traumatique","","Traumatic epidural haemorrhage
Hémorragie épidurale
Hémorragie extra-durale traumatique
Hémorragie extra-durale traumatique
Traumatic Intracranial Extradural Hematoma","","","Diagnosis","N/A","Super User","Super User"
688,"Exacerbation d'asthme","","Asthma relapse
Exacerbation d'asthme
Exacerbation d'asthme
Asthma exacerbation","","","Diagnosis","N/A","Super User","Super User"
689,"Tumeur maligne du poumon","","Tumeur maligne du poumon
Lung cancer
Tumeur maligne du poumon
Malignant neoplasm of lung","","","Diagnosis","N/A","Super User","Super User"
690,"Hémorragie du début de la grossesse","","Hemorrhage in early pregnancy
hemorragia a principios del embarazo
Hémorragie du début de la grossesse
Haemorrhage In Early Pregnancy
Hémorragie du début de la grossesse","","","Diagnosis","N/A","Super User","Super User"
691,"Empoisonment","","Toxicité, sans précision
Toxicité, sans précision
Empoisonment
Poisoning
Toxicity
Empoisonment","","","Diagnosis","N/A","Super User","Super User"
692,"Syndrome d'eruption febrile","","Febrile rash
Syndrome d'eruption febrile
Syndrome d'eruption febrile","","","Diagnosis","N/A","Super User","Super User"
693,"Rubéole","","German measles
Rubéole
rubéola
Rubéole
Rubella","","","Diagnosis","N/A","Super User","Super User"
694,"Cancer du col utérine","","Cancer du col
Cervical cancer
Tumeur maligne du col de l'utérus
Malignant neoplasm of cervix uteri
Carcinome invasif du col de l'utérine
Tumeur maligne du col de l'utérus
tumor maligno del cuello uterino
Cancer du col
Malignant neoplasm of cervix
Cancer du col utérine
Cervical malignancy","","","Diagnosis","N/A","Super User","Super User"
695,"Asthme persistant léger","","Asthme, léger persistant
Asthme persistant léger
Mild persistent asthma
Asthme, léger persistant
Asthme persistant léger","","","Diagnosis","N/A","Super User","Super User"
696,"Leptospirose","","Leptospirose
leptospirosis
Leptospirose
Leptospirosis","","","Diagnosis","N/A","Super User","Super User"
697,"Asthme intermittent légère","","Mild intermittent asthma
Asthme intermittent légère
Asthme intermittent légère","","","Diagnosis","N/A","Super User","Super User"
698,"Asthme persistant sévère","","Severe persistent asthma
Asthme persistant sévère
asma persistente severa
Asthme persistant sévère","","","Diagnosis","N/A","Super User","Super User"
699,"Leucorrhée","","Leukorrhea
leucorrea
Leucorrhée
Autres affections non inflammatoires précisées du vagin
Leucorrhée
Autres affections non inflammatoires précisées du vagin","","","Diagnosis","N/A","Super User","Super User"
700,"Asthme","","Asthma, unknown severity
Asthma
Asthme, gravité indéterminée
Asthma NOS
Asthme
Asthme
Asma
Asthme, gravité indéterminée","","","Diagnosis","N/A","Super User","Super User"
701,"Problemes bucco-dentaires","","Teeth or mouth trouble
Problemes bucco-dentaires
Dental problem
Problemes bucco-dentaires","","","Diagnosis","N/A","Super User","Super User"
702,"Douleur abdominale dans les quadrants inférieurs","","Douleur abdominale dans les quadrants inférieurs
Douleur localisée à d'autres parties inférieures de l'abdomen
Lower abdominal pain
Douleur abdominale dans les quadrants inférieurs
Douleur localisée à d'autres parties inférieures de l'abdomen","","","Diagnosis","N/A","Super User","Super User"
703,"Cancer du trompes","","Cancer du trompes
Malignant Neoplasm of Fallopian Tube
Tumeur maligne du trompes
maligne neoplasma van de tuba Fallopii
Cancer du trompes","","","Diagnosis","N/A","Super User","Super User"
704,"Hémorragie sous-durale non traumatique","","Hémorragie sous-durale non traumatique
Non-traumatic subdural hemorrhage
Non-traumatic subdural haemorrhage
Hémorragie sous-durale non traumatique","","","Diagnosis","N/A","Super User","Super User"
705,"Haiti monthly notifiable diseases","","Haiti monthly notifiable diseases
MSPP monthly notifiable diseases","","Anémie
Asthme
Asthme persistant léger
Asthme persistant sévère
Asthme persistant modéré
Asthme intermittent légère
Hernie inguinale
Problemes bucco-dentaires
Charbon cutané
Conjonctivite néonatale (Nouveau-ne de 0-28 jours)
Conjonctivite bacterienne
Conjonctivite Virale
Coqueluche
Dengue
Fièvre hémorragique due au virus de la dengue
Diabetes sucre, type 1
Diabète de type 2
Diabète
Diabète gestationnel
Diabete pre-gestationnelle
Diabète avec acidocétose
Diarrhée
Diarrhée sanglante
Diphtérie
Douleur abdominale
Dyspepsie
Ecoulement urétral
Filariose
Goitre
Hémorragie
Hémorragie du post-partum
Hypertension essentielle
Syndrome ictérique fébrile
Intoxication alimentaire
Infection des voies respiratoires supérieures
Kwashiorkor
Kwashiorkor avec marasme
Lèpre
Leptospirose
Malaria
Méningite Virale
Méningite bactérienne
Méningococcémie
Morsure d'un chien
Oreillons
Paralysie flasque aiguë
Parasitose intestinale
Helminthiase
Leucorrhée
Pneumonie
Pneumonie bactérienne
Rage
Rougeole
Gale (Sarcoptose)
Septicémie
Septicémie néonatale
Syndrome d'eruption febrile
Syphilis congenitales (bebe de moins d’un an)
Syphilis
Tuberculose
Tétanos néonatal
Tétanos
Tétanos obstétrical
Tumeur maligne des scrotum
Néoplasie
Tumeur maligne de la prostate
Tumeur maligne de l'intestin
Fièvre Typhoïde
Chancre Mou
Ulcères génitaux féminins
Xerophthalmie
Infection aiguë des voies respiratoires inférieure
Douleur épigastrique
Hémorragie gastro-intestinale
Granulome inguinal
Lymphogranulomatose vénérienne à Chlamydia
Rubéole
Syndrome de rubéole gestationnel
Diabète insipide
Pyrosis
Douleur abdominale dans les quadrants inférieurs
Grippe, à virus de grippe aviaire identifié
Pneumopathie virale
Tumeur bénigne du scrotum
Duodénite
Syndrome respiratoire aigu sévère
Diarrhée aqueuse
Tumeur maligne du poumon
Tumeur maligne du sein
Tumeur maligne des glandes de bartholin
Tumeur maligne de la vulve
Cancer du col utérine
Tumeur maligne de l'ovaire
Cancer du trompes
Tumeur maligne
Tumeur bénigne du sein
Cancer endométriale
Tumeur stromale gastro-intestinale
Anemie falciform
Anémie à hématies falciformes avec crises
Trichomonase
Obésité
Hémorragie sous-arachnoïdienne
Hémorragie intracérébrale
Hémorragie sous-durale non traumatique
Hémorragie du début de la grossesse
Hémorragie extra-durale traumatique
Hémorragie sous-durale traumatique
Empoisonment
Hémorragie sous-arachnoïdienne traumatique
Syndrome thoracique aigu
Anémie légère
Anémie modérée
Anémie sévère
Crise hypertensive
Exacerbation d'asthme
Douleur pelvienne et périnéale (Uniquement pour sexe feminine)
Gonorrhée
Infection à clamydia
Bronchopneumonie
Virus de l'immunodéficience humaine (VIH)","ConvSet","N/A","Super User","Super User"
706,"Haiti neonatal diseases","","Haiti neonatal diseases","","Conjonctivite néonatale (Nouveau-ne de 0-28 jours)
Tétanos néonatal
Septicémie néonatale","ConvSet","N/A","Super User","Super User"
707,"Haiti notifiable disease set","","Haiti notifiable disease set
MSPP notifiable disease set","","Maladies nationale d'Haiti
Haïti maladies urgentes
Haiti monthly notifiable diseases
Haiti neonatal diseases
Haiti age restricted diseases","ConvSet","N/A","Super User","Super User"
708,"Remarques sur les impressions cliniques","","Impressions remarques
Clinical impression comments
Remarques sur les impressions cliniques","","","Question","Text","Super User","Super User"
709,"Prophylaxie dentaire classe I","","Prophylaxie dentaire classe I
Routine visit for teeth cleaning I
Dental hygiene visit for mild periodontal disease
Prophylaxie dentaire classe I","","","Misc","N/A","Super User","Super User"
710,"Prophylaxie dentaire","","Prophylaxie dentaire
Prophylaxie dentaire
Routine visit for teeth cleaning
Dental hygiene visit","","","Misc","N/A","Super User","Super User"
711,"Vaccination","","Vaccination
Vaccination
Vacunación requerida
Vaksinasyon
Vaccination
Immunization
Immunization","","","Procedure","N/A","Super User","Super User"
712,"Prophylaxie dentaire classe II","","Prophylaxie dentaire classe II
Routine visit for teeth cleaning II
Dental hygiene visit for moderate periodontal disease
Prophylaxie dentaire classe II","","","Misc","N/A","Super User","Super User"
713,"Prophylaxie dentaire classe III","","Prophylaxie dentaire classe III
Routine visit for teeth cleaning III
Dental hygiene visit for severe periodontal disease
Prophylaxie dentaire classe III","","","Misc","N/A","Super User","Super User"
714,"HUM reason for services set","","HUM reason for services set","","Prophylaxie dentaire
Prophylaxie dentaire classe I
Prophylaxie dentaire classe II
Prophylaxie dentaire classe III
Vaccination","ConvSet","N/A","Super User","Super User"
715,"Déficience de le marche","","moeilijk lopen
Walking disability
discapacidad para caminar
Difficulty walking
Déficience de le marche
Déficience de le marche","","","Diagnosis","N/A","Super User","Super User"
716,"Névralgie","","neuralgie
Névralgie
Neuralgia
Névralgie
neuralgia","","","Diagnosis","N/A","Super User","Super User"
717,"Dysarthrie","","disartria
Dysarthrie
dysarthrie
Dysarthria
Dysarthrie
Thất ngôn","","","Diagnosis","N/A","Super User","Super User"
718,"Dysphasie à cause de une maladie cérébrovasculaire","","disfasia
Dysphasie à cause de une maladie cérébrovasculaire
Dysphasia due to Cerebrovascular Disease
dysfasie
Dysphasie à cause de une maladie cérébrovasculaire","","","Diagnosis","N/A","Super User","Super User"
719,"Dysphagie oropharyngée","","Dysphagie oropharyngée
Dysphagie oropharyngée
Oropharyngeal Dysphagia
disfagia orofaríngea
Khó nuốt do hầu họng","","","Diagnosis","N/A","Super User","Super User"
720,"Trouble du langage mixte, réceptif-expressive","","gemengde receptieve en expressieve taalstoornis
Trouble du langage mixte, réceptif-expressive
Mixed Receptive-Expressive Language Disorder
trastorno mixto del lenguaje receptivo - expresivo
Trouble du langage mixte, réceptif-expressive","","","Diagnosis","N/A","Super User","Super User"
721,"Douleur Articulaire","","Arthralgie
Arthralgie
Rheumatism
Joint Pain
Douleur Articulaire
Douleur articulaire
Arthralgia","","","Finding","N/A","Super User","Super User"
722,"Neuropathie","A disease or degenerative state (as polyneuropathy) of the peripheral nerves in which motor, sensory, or vasomotor nerve fibers may be affected and which is marked by muscle weakness and atrophy, pain, and numbness.","PN
Neuropathie
Neuropahtie périphérique
Neuropahtie périphérique
Neuropathy
Neuropathie
Peripheral neuropathy","","","Diagnosis","N/A","Super User","Super User"
723,"Foulure de coiffe des rotateurs","","Foulure de coiffe des rotateurs
Strain of Rotator Cuff Capsule
distorsie van de 'rotator cuff'
distensión de la cápsula del manguito rotatorio
Foulure de coiffe des rotateurs","","","Diagnosis","N/A","Super User","Super User"
724,"Entorse de sacrum","","Entorse de sacrum
esguince sacro
sacrale distorsie
Sacrum Sprain
Entorse de sacrum","","","Diagnosis","N/A","Super User","Super User"
725,"Douleurs dans les membres","","dolor en una extremidad
Douleurs dans les membres
Douleurs dans les membres
Боль в конечности
beenpijn
Pain in Limb","","","Diagnosis","N/A","Super User","Super User"
726,"Entorse du dos","","Sprain of Back
Entorse du dos
esguince de ligamento espinal
distensión de ligamento espinal
Entorse du dos","","","Diagnosis","N/A","Super User","Super User"
727,"Maltèt","","hoofdpijn
cefalea
Mal de tête
Céphalée
Headache
Céphalée
Đau đầu
Головная боль
umwa kichwa
Maltèt
Tèt Fè Mal","","","Diagnosis","N/A","Super User","Super User"
728,"Douleur thoracique","","Chest Pain
Douleur thoracique
Douleur thoracique","","","Diagnosis","N/A","Super User","Super User"
729,"Syndrome douloureux du membre fantôme","","fantoomextremiteitssyndroom
Phantom Limb Syndrome
síndrome del miembro fantasma
Syndrome douloureux du membre fantôme
Syndrome douloureux du membre fantôme","","","Diagnosis","N/A","Super User","Super User"
730,"Perte de la voix","","Loss of Voice
Perte de la voix
Aphonia
Aphonie
Perte de la voix
afonía
Aphonie","","","Diagnosis","N/A","Super User","Super User"
731,"Rachialgies dorsales","","Pain in thoracic spine
Rachialgies dorsales
Rachialgies dorsales","","","Diagnosis","N/A","Super User","Super User"
732,"Faiblesse musculaire","","spierzwakte
Faiblesse musculaire
Điểm yếu cơ bắp
Muscle Weakness
debilidad muscular
Faiblesse musculaire","","","Diagnosis","N/A","Super User","Super User"
733,"Lombalgie avec Sciatique","","Lombalgie avec Sciatique
Lumbago with Sciatica
Люмбаго с ишиасом
lumbociatalgia
Lombalgie avec Sciatique
lumbago met ischias","","","Diagnosis","N/A","Super User","Super User"
734,"Dysphagie, Phase orale","","Khó nuốt do miệng
disfagia de la fase oral
Dysphagia, Oral Phase
Dysphagie, Phase orale
Dysphagie, Phase orale","","","Diagnosis","N/A","Super User","Super User"
735,"Autisme infantile","","Autisme infantile
Tự kỷ ở trẻ nhỏ
Infantile Autism
autismo infantil
Autisme infantile","","","Diagnosis","N/A","Super User","Super User"
736,"Douleur aiguë","","Douleur aiguë
Douleur aiguë
Acute pain","","","Symptom","N/A","Super User","Super User"
737,"Désordre de parler/du langage","","Désordre de parler/du langage
Désordre de parler/du langage
Speech/Language Disorder
trastorno del habla y el lenguaje","","","Diagnosis","N/A","Super User","Super User"
738,"Névrite","","Névrite
Neuritis
neuritis
Névrite","","","Diagnosis","N/A","Super User","Super User"
739,"Dysphagie de l'œsophage","","disfagia esofágica
Dysphagie de l'œsophage
Dysphagie de l'œsophage
Nuốt khó do thực quản
Esophageal Dysphagia","","","Diagnosis","N/A","Super User","Super User"
740,"Rupture de la coiffe des rotateurs","","síndrome del manguito de los rotadores
Rupture de la coiffe des rotateurs
Rupture de la coiffe des rotateurs
Rotator Cuff Rupture","","","Diagnosis","N/A","Super User","Super User"
741,"Entorse du rachis dorsal","","esguince de región dorsal
Lồng ngực lại bong gân
thoracale distorsie
Entorse du rachis dorsal
Thoracic Back Sprain
Entorse du rachis dorsal
distensión de espalda dorsal","","","Diagnosis","N/A","Super User","Super User"
742,"Dysphagie","","Dysphagie
Kushindwa kumeza kitu chakula,kutokana na vidonda au ugonjwa
Khó nuốt
disfagia
Дисфагия
dysfagie
Nuốt khó
Dysphagia
Disfaji
Dysphagie
Painful swallowing
Difficulty swallowing","","","Diagnosis","N/A","Super User","Super User"
743,"Douleur au cou","","cervicalgie
Douleur au cou
Douleur cervicale
Cervicalgia
Douleur cervicale
Cervical spine pain
Douleur au cou
Neck pain","","","Diagnosis","N/A","Super User","Super User"
744,"Entroese du cou","","esguince de cuello
Entroese du cou
distorsie van de hals
Neck Sprain
Entroese du cou","","","Diagnosis","N/A","Super User","Super User"
745,"Entorse des ligaments croisés du genou","","Sprain of Cruciate Ligament of Knee
esguince de los ligamentos cruzados de la rodilla
distorsie van het ligamentum cruciatum van de knie
Entorse des ligaments croisés du genou
Entorse des ligaments croisés du genou","","","Diagnosis","N/A","Super User","Super User"
746,"Dégénération du disque intervertébral Lumbosacral","","Dégénération du disque intervertébral Lumbosacral
Dégénération du disque intervertébral Lumbosacral
degeneratie van een lumbosacrale tussenwervelschijf
degeneración de disco intervertebral lumbosacro
Degeneration of Lumbosacral Intervertebral Disc","","","Diagnosis","N/A","Super User","Super User"
747,"Douleur, sans précision","","Douleur, sans précision
Pain
Discomfort
Ache
Douleur, sans précision","","","Diagnosis","N/A","Super User","Super User"
748,"Lombalgie basse","","Backache
Back Pain
Douleur lombaire
Lombalgie basse
Lombalgie basse
Douleur de dos
Lombalgie
Lombalgie
Douleur de dos
Low back pain
Lumbago","","","Diagnosis","N/A","Super User","Super User"
749,"Ostéo-arthrite du Genou","","Osteoarthritis of Knee
artrosis de la rodilla
Ostéo-arthrite du Genou
Gonarthrose
Gonarthrose
Gonarthrosis
knieartrose
Ostéo-arthrite du Genou","","","Diagnosis","N/A","Super User","Super User"
750,"Affections des racines et des plexus nerveux","","Affections des racines et des plexus nerveux
trastornos del nervio, plexo y raíz
Affections des racines et des plexus nerveux
Nerve root and plexus disorder","","","Diagnosis","N/A","Super User","Super User"
751,"Entorse du rachis lombaire","","Entorse du rachis lombaire
lumbale distorsie
Lumbar Sprain
esguince lumbar
Entorse du rachis lombaire","","","Diagnosis","N/A","Super User","Super User"
752,"Entorse des ligaments croisés du genou (postérieur)","","esguince del ligamento cruzado posterior de la rodilla
Entorse des ligaments croisés du genou (postérieur)
Entorse des ligaments croisés du genou (postérieur)
Sprain of posterior cruciate ligament of knee","","","Diagnosis","N/A","Super User","Super User"
753,"Entorse des ligaments croisés du genou (antérieur)","","Entorse des ligaments croisés du genou (antérieur)
Sprain of Anterior Cruciate Ligament of Knee
esguince del ligamento cruzado anterior de la rodilla
Entorse des ligaments croisés du genou (antérieur)","","","Diagnosis","N/A","Super User","Super User"
754,"Dégénération du disque intervertébral Lombaire","","Dégénération du disque intervertébral Lombaire
degeneratie van een lumbale tussenwervelschijf
degeneración de disco intervertebral lumbar
Dégénération du disque intervertébral Lombaire
Degeneration of Lumbar Intervertebral Disc","","","Diagnosis","N/A","Super User","Super User"
755,"Déficits de parole et langage","","Déficits de parole et langage
Déficits de parole et langage
Speech and Language Deficits","","","Diagnosis","N/A","Super User","Super User"
756,"Rencontre pour les soins palliatifs","","Rencontre pour les soins palliatifs
Rencontre pour les soins palliatifs
Encounter for palliative care","","","Diagnosis","N/A","Super User","Super User"
757,"Mononévrite","","mononeuropathie
mononeuropatía
Mononévrite
Mononeuropathy
Mononévrite","","","Diagnosis","N/A","Super User","Super User"
758,"Syndrome de Guillain-Barré","","Syndrome de Guillain-Barré
Syndrome de Guillain-Barré
Guillain-Barre Syndrome
Guillain-Barré syndrome
Синдром Гийена-Барре
SGB
GBS
SGB
síndrome de Guillain - Barré","","","Diagnosis","N/A","Super User","Super User"
759,"Douleur au genou","","Đau khớp gối
Knee Pain
gewrichtspijn knie
gonalgia
Đau đầu gối
Douleur au genou
Douleur au genou","","","Diagnosis","N/A","Super User","Super User"
760,"Douleur à l'épaule","","Douleur à l'épaule
Douleur à l'épaule
dolor en la articulación del hombro
Vai Joint Pain
schouderpijn
Shoulder Joint Pain","","","Diagnosis","N/A","Super User","Super User"
761,"Démarche anormale","","Abnormal gait
Démarche anormale
Démarche anormale","","","Finding","N/A","Super User","Super User"
762,"HUM Rehab diagnoses","","HUM Rehab diagnoses","","Neuropathie
Déficits de parole et langage
Rachialgies dorsales
Entroese du cou
Douleur Articulaire
Entorse du rachis dorsal
Syndrome douloureux du membre fantôme
Entorse de sacrum
Entorse du dos
Douleurs dans les membres
Dégénération du disque intervertébral Lombaire
Douleur thoracique
Dégénération du disque intervertébral Lumbosacral
Mononévrite
Douleur pelvienne et périnéale (Uniquement pour sexe feminine)
Rupture de la coiffe des rotateurs
Démarche anormale
Affections des racines et des plexus nerveux
Entorse des ligaments croisés du genou
Douleur abdominale dans les quadrants inférieurs
Névralgie
Entorse des ligaments croisés du genou (postérieur)
Entorse des ligaments croisés du genou (antérieur)
Maltèt
Névrite
Foulure de coiffe des rotateurs
Douleur, sans précision
Entorse du rachis lombaire
Rencontre pour les soins palliatifs
Douleur aiguë
Dysphagie oropharyngée
Syndrome de Guillain-Barré
Lombalgie basse
Trouble du langage mixte, réceptif-expressive
Dysphagie de l'œsophage
Déficience de le marche
Dysarthrie
Douleur au cou
Faiblesse musculaire
Dysphagie, Phase orale
Douleur à l'épaule
Dysphagie
Lombalgie avec Sciatique
Ostéo-arthrite du Genou
Douleur au genou
Dysphasie à cause de une maladie cérébrovasculaire
Autisme infantile
Désordre de parler/du langage
Perte de la voix
Autisme","ConvSet","N/A","Super User","Super User"
763,"Hyperplasie de l'endometre","","Hyperplasie de l'endometre
Hyperplasie de l'endometre
Endometrial Hyperplasia
endometriumhyperplasie","","","Diagnosis","N/A","Super User","Super User"
764,"Travail trop rapide","","Accouchement rapide
Accouchement bullet de canon
Travail trop rapide
trabajo de parto precipitado
Accouchement rapide
Travail trop rapide
Precipitate labor
Accouchement bullet de canon","","","Diagnosis","N/A","Super User","Super User"
765,"Faux travail","","Faux travail
False labor
False labour
LABOR PAIN, FALSE
Faux travail","","","Diagnosis","N/A","Super User","Super User"
766,"Menace d'avortement","","Threatened Abortion
dreigende abortus
Menace d'avortement
Menace d'avortement","","","Diagnosis","N/A","Super User","Super User"
767,"Convulsions dissociatives ou crises de conversion","","Crise hysterique
Crise hysterie de conversion
dissociatieve convulsie
Convulsions dissociatives ou crises de conversion
Crise hysterique
Convulsions dissociatives ou crises de conversion
Crise hysterie de conversion
Dissociative convulsions","","","Diagnosis","N/A","Super User","Super User"
768,"Tumeur bénigne du col de l'utérus","","neoplasia benigna del cuello uterino
Tumeur bénigne du col de l'utérus
benigne tumor van de cervix uteri
Benign Neoplasm of Uterine Cervix
Tumeur bénigne du col de l'utérus","","","Diagnosis","N/A","Super User","Super User"
769,"Menace d'accouchement prématuré","","Threatened Premature Labor
Menace d'accouchement prématuré
Menace d'accouchement prématuré","","","Diagnosis","N/A","Super User","Super User"
770,"Syndrome de Mayer-Rokitansky","","Syndrome de Mayer-Rokitansky
Syndrome de Mayer-Rokitansky
Mayer-Rokitansky syndrome
MRKH (Mayer-Rokitansky-Kuster-Hauser syndrome)
Mayer-Rokitansky-Kuster-Hauser syndrome","","","Diagnosis","N/A","Super User","Super User"
771,"Tumeur bénigne des trompes de Fallope","","Benign Neoplasm of Fallopian Tube
Tumeur bénigne des trompes de Fallope
neoplasia benigna de trompa de Falopio
Tumeur bénigne des trompes de Fallope","","","Diagnosis","N/A","Super User","Super User"
772,"Imperforation de l'hymen","","Imperforation de l'hymen
Imperforation hymeneale
Imperforation hymeneale
himen imperforado
niet geperforeerd hymen
Imperforation de l'hymen
Imperforate hymen","","","Diagnosis","N/A","Super User","Super User"
773,"Abcès pelvien","","Pelvic Abscess
Abcès pelvien
Abcès pelvien
pelvisch abces
absceso pélvico","","","Diagnosis","N/A","Super User","Super User"
774,"Syndrome des ovaires poly kystiques","","polycystische ovaria
Syndrome des ovaires poly kystiques
Syndrome des ovaires poly kystiques
Polycystic Ovaries","","","Diagnosis","N/A","Super User","Super User"
775,"Accouchement prématuré","","Travail prématuré [avant terme]
Preterm spontaneous labour with preterm delivery
Accouchement prématuré
Preterm delivery
parto prematuro
premature bevalling
Accouchement prématuré
Preterm delivery (Maternal Condition)
Travail prématuré [avant terme]","","","Diagnosis","N/A","Super User","Super User"
776,"Abruptio placentae","","desprendimiento placentario
Abruptio placentaire
Premature separation of placenta
Abruptio placentaire
Abruptio placentae
Placental abruption
Décollement prématuré du placenta
Abruptio placentae
ablatio placentae
Abruptio placentae
Décollement prématuré du placenta","","","Diagnosis","N/A","Super User","Super User"
777,"Naissances multiples (3+), enfants nés à l'hôpital","","Naissances multiples (3+), enfants nés à l'hôpital
Naissances multiples (3+), enfants nés à l'hôpital
Multiples (3+) born in hospital
Triplets or more, liveborn in hospital","","","Diagnosis","N/A","Super User","Super User"
778,"Trouble de placenta","","Trouble de placenta
Trouble de placenta
trastorno placentario
Disorder of placenta","","","Diagnosis","N/A","Super User","Super User"
779,"Mise en place d'un DIU au cuivre","","Insertion of copper intrauterine device
Mise en place d'un dispositif contraceptif (intra-utérin) au cuivre
Mise en place d'un DIU au cuivre
Mise en place d'un dispositif contraceptif (intra-utérin) au cuivre
Mise en place d'un DIU au cuivre
Insertion of copper IUD","","","Procedure","N/A","Super User","Super User"
