,Unnamed: 0,name_es,name_clean,old_name_matches_clean,old_name_matches_score,concept,english
236,,ZINC 0.38 g CAPSULAS,zinc,zinc,100.0,PIH:4064,
237,,BENZOATO DE BENCILO SOLUCION CORPORAL,benzoato de bencilo solucion corporal,benzoato de bencilo,90.0,PIH:409,
238,,AMOXICILINA / ACIDO CLAVULÁNICO - 400MG/57MG/5ML,amoxicilina   acido clavulánico,amoxicilina   ácido clavulánico,98.0,PIH:450,
239,,AMOXICILINA/ACIDO CLAVULANICO 875MG/125MG - 10 TABLETAS,amoxicilina acido clavulanico,amoxicilina   ácido clavulánico,93.0,PIH:450,
240,,VITAMINAS ANGELS,vitaminas angels,vitamin angels,93.0,PIH:461,
241,,CEFTRIAXONA - Solución Inyectable,ceftriaxona,ceftriaxona,100.0,PIH:496,
242,,CEFTRIAXONA SOLUCION INYECTABLE 1G - 1 AMPOLLA,ceftriaxona solucion inyectable,ceftriaxona,90.0,PIH:496,
243,,DIU DE COBRE,diu de cobre,,,PIH:5275,copper IUD
244,,AZITROMICINA 200MG/5ML - SUSPENCION 30 ML,azitromicina,azitromicina,100.0,PIH:735,
245,,AZITROMICINA 500 MG - 3 TABLETAS,azitromicina,azitromicina,100.0,PIH:735,
246,,CIPROFLOXACINO 500MG - 14 TABLETAS,ciprofloxacino,ciprofloxacino ungüento,90.0,PIH:740,ciprofloxacin
247,,CIPROFLOXACINA SOLUCION OTICA - 10ML,ciprofloxacina solucion otica,,,PIH:740,ciprofloxacin
248,,CIPROFLOXACINA/HIDRO/LID SOLUCION OTICA - 10ML,ciprofloxacina hidro lid solucion otica,,,PIH:740,ciprofloxacin
249,,CIPROFLOXACINO SOLUCION OFTALMICA - 5ML,ciprofloxacino solucion oftalmica,,,PIH:740,ciprofloxacin
250,,FLUCONAZOL 150MG - 1 CAPSULA,fluconazol,fluconazol,100.0,PIH:747,
251,,PREDNISOLONA OFTALMICA **ESPECIAL**,prednisolona oftalmica,,,PIH:765,prednisolone
252,,HIDROXICARBAMIDA 500MG CAPSULAS [Hydrea] **ESPECIAL**,hidroxicarbamida,,,PIH:7658,hydroxycarbamide
253,,ONDANSETRON TABLETAS **ESPECIAL**,ondansetron tabletas,,,PIH:7663,ondansetron
254,,TAMOXIFENO 20 MG - 14 TABLETAS **ESPECIAL**,tamoxifeno,tamoxifeno,100.0,PIH:7664,
255,,SALBUTAMOL AEROSOL 100MCG - 200 DOSIS,salbutamol aerosol,salbutamol,90.0,PIH:798,
256,,ACIDO ACETILSALICILICO 100MG - 30 TABLETAS,acido acetilsalicilico,ácido acetilsalicílico,95.0,PIH:88,
257,,ACIDO ACETILSALICILICO 300MG - 20 TABLETAS EFF,acido acetilsalicilico,ácido acetilsalicílico,95.0,PIH:88,
258,,ACIDO ACETILSALICILICO 500MG - TABLETAS,acido acetilsalicilico,ácido acetilsalicílico,95.0,PIH:88,
259,,Citrato de potacio + Citrato Acido [Uroclasio] - 150ml **ESPECIAL**,citrato de potacio   citrato acido [uroclasio],,,PIH:88,Uroclasio (potassium citrate and acid citrate)
260,,PARACETAMOL 300MG - 12 SUPOSITORIOS,paracetamol,paracetamol,100.0,PIH:89,
261,,PARACETAMOL 500MG - 10 TABLETAS,paracetamol,paracetamol,100.0,PIH:89,
262,,PARACETAMOL JARABE 3.2G/100 ml - 120 ml,paracetamol jarabe,paracetamol,90.0,PIH:89,
263,,PARACETAMOL SOLUCION 100MG/ML - 20ML,paracetamol solucion,paracetamol,90.0,PIH:89,
264,,PARACETAMOL/CAFEÍNA 500MG/50MG - TABLETAS,paracetamol cafeína,paracetamol,90.0,PIH:89,
265,,PARACETAMOL/METOCARBAMOL 350MG/400MG - TABLETAS,paracetamol metocarbamol,paracetamol,90.0,PIH:89,
266,,IBUPROFENO 800MG - 12 TABLETAS,ibuprofeno,ibuprofeno,100.0,PIH:912,
267,,IBUPROFENO SOLUCION PEDIATRICA,ibuprofeno solucion pediatrica,ibuprofeno,90.0,PIH:912,
268,,NISTATINA 100 000 IU - 12 OVULOS,nistatina,nistatina,100.0,PIH:919,
269,,NISTATINA SUSPENSION 100 000UI/ML - 24 ML,nistatina suspension,nistatina,90.0,PIH:919,
270,,CARBAMAZEPINA 200MG - 20 TABLETAS,carbamazepina,carbamazepina,100.0,PIH:920,
271,,CARBAMAZEPINA SUSPENSION 2G/100 ML - 100 o 120ML,carbamazepina suspension,carbamazepina,90.0,PIH:920,
272,,OXCARBAMAZEPINA 60MG/ML - 100ML **ESPECIAL**,oxcarbamazepina,carbamazepina,93.0,PIH:920,
273,,DICLOXACILINA 500MG TABLETAS,dicloxacilina,,,PIH:922,Dicloxacillin
274,,DICLOXACILINA SUSPENCION 50MG/ML 60ML,dicloxacilina suspencion,,,PIH:922,Dicloxacillin
275,,RANITIDINA 150MG 20 TABLETAS,ranitidina,ranitidina,100.0,PIH:923,
276,,KETOCONAZOL 2% - 100G,ketoconazol,ketoconazol,100.0,PIH:926,
277,,KETOCONAZOL 2% - 30G,ketoconazol,ketoconazol,100.0,PIH:926,
278,,KETOCONAZOL SHAMPOO,ketoconazol shampoo,ketoconazol,90.0,PIH:926,
279,,SULFADIAZINA DE PLATA CREMA 1G,sulfadiazina de plata crema,sulfadiazina de plata,95.0,PIH:938,
280,,ALBENDAZOL 200MG - 6 TABLETAS,albendazol,albendazol,100.0,PIH:941,
281,,ALBENDAZOL SUSPENCION 20MG/ML - 20 ML,albendazol suspencion,albendazol,90.0,PIH:941,
282,,DOXICICLINA 100MG - 10 CAPSULAS,doxiciclina,doxiciclina,100.0,PIH:95,
283,,CLOTRIMAZOL - 12 OVULOS,clotrimazol,,,PIH:960,clotrimazole
284,,FUROSEMIDA 40MG - 20 TABLETAS,furosemida,furosemida,100.0,PIH:99,
285,,ACIDO RETINOICO 0.05G - 30G,acido retinoico,,,,retinoic acid
286,,ALGESTONA/ESTRADIOL INYECTABLE 150MG/10MG/ML - 1ML,algestona estradiol inyectable,,,,Estradiol enantate/algestone acetophenide
287,,BLOQUEADOR SOLAR,bloqueador solar,,,,sunscreen
288,,DESPENSA NUTRIHUATE **ESPECIAL**,despensa nutrihuate,,,,"a mix of oil, milk, and peanut butter given for malnutrition"
289,,DIU DE HORMONA (MIRENA),diu de hormona (mirena),,,,Marina hormone IUD
290,,FORMULA MAGISTRAL **ESPECIAL** (precisar cual en comentario),formula magistral  (precisar cual en comentario),,,,magistral formula
291,,KIT PARA BEBE (ROPA),kit para bebe (ropa),,,,kit of baby clothing
292,,MECLIZINA/PIRIDOXINA 25MG/50MG - 12 TABLETAS,meclizina piridoxina,,,,meclizine and pyridoxine
293,,PRUEBAS DE TIPIFICACION SANGUINEA,pruebas de tipificacion sanguinea,,,,blood type tests
294,,PSORIADERM **ESPECIAL**,psoriaderm,,,,psorioderm
