010.000.4483.01,"FLUOXETINA,   CLORHIDRATO DE  DE  20  MG,  CÁPSULA  O TABLETA,  ENVASE CON 28 CÁPSULAS  O TABLETAS.",28 CÁPSULAS  O TABLETAS,CIEL:76553,fluoxetine hydrochloride,81,
010.000.1701.00,"FUMARATO  FERROSO   DE CADA  TABLETA  CONTIENE:  FUMARATO  FERROSO 200 MG EQUIVALENTE A 65.74 MG DE HIERRO ELEMENTAL,  TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,CIEL:76335,ferrous fumarate,88,
010.000.1702.00,"FUMARATO  FERROSO  DE CADA ML CONTIENE:  FUMARATO  FERROSO  29 MG EQUIVALENTE  A  9.53   MG   DE   HIERRO   ELEMENTAL,    SUSPENSIÓN   ORAL, ENVASE CON 120 ML.",ENVASE CON 120 ML,CIEL:76335,ferrous fumarate,88,
010.000.2308.00,"FUROSEMIDA   DE  20  MG/2   ML,  SOLUCIÓN   INYECTABLE,   ENVASE   CON   5 AMPOLLETAS CON 2 ML.",5 AMPOLLETAS CON 2 ML,PIH:99,furosemide,90,
010.000.2307.00,"FUROSEMIDA  DE 40 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:99,furosemide,90,
010.000.1955.00,"GENTAMICINA, SULFATO DE DE 20 MG, SOLUCIÓN INYECTABLE,  ENVASE CON AMPOLLETA  CON 2 ML.",AMPOLLETA  CON 2 ML,PIH:100,gentamicin,95,
010.000.1954.00,"GENTAMICINA, SULFATO DE DE 80 MG, SOLUCIÓN INYECTABLE,  ENVASE CON AMPOLLETA  CON 2 ML.",AMPOLLETA  CON 2 ML,PIH:100,gentamicin,95,
010.000.1042.00,"GLIBENCLAMIDA DE 5 MG, TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,PIH:4046,glibenclamide,92,
060.596.0111,GLICERINA  ENVASE CON 55 ML,ENVASE,CIEL:77073,glycerin,,
010.000.3607.00,"GLUCOSA  ANHIDRA  DE CADA  100 ML CONTIENEN:  GLUCOSA  ANHIDRA  50 G EQUIVALENTE A 50.0 G DE GLUCOSA.  CONTIENE:  GLUCOSA  25 G, SOLUCIÓN INYECTABLE  AL 50 %, ENVASE CON 50 ML.",ENVASE CON 50 ML,CIEL:77054,,,
010.000.4201.00,HIDRALAZINA     SOLUCIÓN     INYECTABLE     CADA     AMPOLLETA     CONTIENE: CLORHIDRATO DE HIDRALAZINA  10 MG.,5 AMPOLLETAS CON 1.0 ML,CIEL:77675,hydralazine,,
010.000.0570.00,"HIDRALAZINA,  CLORHIDRATO  DE  DE  10  MG,  TABLETA,   ENVASE   CON  20 TABLETAS.",20 TABLETAS,CIEL:77675,hydralazine,82,
010.000.2116.00,"HIDRALAZINA, CLORHIDRATO DE DE CADA AMPOLLETA  CONTIENE: CLORHIDRATO DE HIDRALAZINA  10 MG / ML, SOLUCIÓN INYECTABLE,  ENVASE CON 5 AMPOLLETAS CON 1 ML.",5 AMPOLLETAS CON 1.0 ML,CIEL:77675,hydralazine,82,
010.000.4201.00,"HIDRALAZINA, CLORHIDRATO DE DE CADA AMPOLLETA  CONTIENE: CLORHIDRATO DE HIDRALAZINA  20 MG / ML, SOLUCIÓN INYECTABLE,  ENVASE CON 5 AMPOLLETAS CON 1 ML.",5 AMPOLLETAS CON 1.0 ML,CIEL:77675,hydralazine,82,
010.000.2301.00,"HIDROCLOROTIAZIDA DE 25 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:1243,hydrochlorothiazide,83,
010.000.0813.00,"HIDROCORTISONA, 17-BUTIRATO  DE DE 1 MG / G, CREMA, ENVASE CON 15 G.",ENVASE CON 15 G,CIEL:77714,hydrocortisone,86,
010.000.0474.00,"HIDROCORTISONA, SUCCINATO   SÓDICO  DE  DE  100  MG  / 2  ML,  SOLUCIÓN INYECTABLE,  ENVASE  CON 50 FRASCOS  ÁMPULA  Y 50 AMPOLLETAS CON 2 ML DE DILUYENTE.",50 FRASCOS ÁMPULA Y 50 AMPOLLETAS CON2 ML DE DILUYENTE.,CIEL:77714,hydrocortisone,86,
060.182.1150,"HIDRÒXIDO  DE CALCIO ESTUCHE BASE-CATALIZADOR, PARA SELLAR CAVIDADES DENTALES. DE HIDRÓXIDO DE CALCIO, COMPUESTO AUTOPOLIMERIZABLE,  DOS  PASTAS   SEMILÍQUIDAS,  BASE  13G  Y CATALIZADOR 11GR CON BLOQUE DE PAPEL PARA MEZCLAR,  ESTUCHE  CON JUEGO Y APLICADOR  DESECHABLE",PIEZA,CIEL:72682,calcium hydroxide,,
010.000.1705.00,HIERRO  DEXTRÁN  SOLUCIÓN  INYECTABLE  - 100  MG/2  ML  - 3 AMPOLLETAS CON 2 ML,ENVASE,CIEL:78230,,,
010.000.1712.00,HIERRO AMINOQUELADO Y ÁCIDO FÓLICO TABLETA  - HIERRO ELEMENTAL  30 MG ÁCIDO FÓLICO 0.500 MG - 30 TABLETAS,ENVASE,PIH:773,,,
010.000.2893.00,"HIPROMELOSA DE  20  MG/ML,  SOLUCIÓN  OFTÁLMICA   AL  2%,  ENVASE  CON GOTERO INTEGRAL CON 15 ML.",ENVASE CON GOTERO INTEGRAL CON 15 ML.,CIEL:77850,hypromellose,78,
020.000.3833.00,"INMUNOGLOBULINA HUMANA ANTIRRÁBICA DE CADA FRASCO ÁMPULA O AMPOLLETA  CONTIENE:  INMUNOGLOBULINA HUMANA  ANTIRRÁBICA 300  UI, SOLUCIÓN  INYECTABLE,  ENVASE  CON  UN  FRASCO  ÁMPULA  O AMPOLLETA CON 2 ML.",FRASCO ÁMPULA O AMPOLLETA  CON 2 ML,CIEL:77594,human immunoglobulin,72,
010.000.1051.00,"INSULINA  HUMANA  ACCIÓN  RÁPIDA  REGULAR  (ORIGEN  ADN RECOMBINANTE ) DE 100 UI / ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON UN FRASCO  ÁMPULA CON 5 ML.",UN FRASCO ÁMPULA CON 5 ML,CIEL:78082,"insulin, regular, human",75,
4158,INSULINA GLARGINA SOLUCIÓN INYECTABLE 3.64 MG/ML.,ENVASE CON 5 CARTUCHOS DE VIDRIO CON 3 ML. EN DISPOSITIVO DESECHABLE,CIEL:78064,"insulin, glargine, human",,
010.000.1051.01,"INSULINA HUMANA ACCIÓN RÁPIDA REGULAR (ORIGEN ADN RECOMBINANTE) DE 100 UI / ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON UN FRASCO  ÁMPULA CON 10 ML.",UN FRASCO ÁMPULA CON 10 ML,CIEL:78082,"insulin, regular, human",75,
010.000.1050.01,"INSULINA HUMANA ISÓFANA ACCIÓN INTERMEDIA NPH (ORIGEN ADN RECOMBINANTE ) DE 100  UI / ML,  SUSPENSIÓN  INYECTABLE,  ENVASE  CON UN FRASCO ÁMPULA CON 10 ML.",UN FRASCO ÁMPULA CON 10 ML,CIEL:78068,insulin nph (human),86,
010.000.4157.00,"INSULINA ZINC COMPUESTA  HUMANA (ORIGEN ADN RECOMBINANTE )ACCIÓN INTERMEDIA   DE  100  UI  /  ML,  SUSPENSIÓN   INYECTABLE,   ENVASE  CON  UN FRASCO ÁMPULA CON 10 ML.",UN FRASCO ÁMPULA CON 10 ML,CIEL:78086,"INSULIN, ZINC, HUMAN",,
010.000.1050.00,"INSULINA ZINC ISÓFANA HUMANA ACCIÓN INTERMEDIA NPH (ORIGEN ADN RECOMBINANTE ) DE 100  UI / ML,  SUSPENSIÓN  INYECTABLE,  ENVASE  CON UN FRASCO ÁMPULA CON 5 ML.",UN FRASCO ÁMPULA CON 5 ML,CIEL:78068,"INSULIN, ISOPHANE, HUMAN",,
060.066.0658,IODOPOVIDONA  ESPUMA.  CADA  100  ML  CONTIENEN:   IODOPOVIDONA  8  G. EQUIVALENTE A 0.8 G DE YODO.,ENVASE CON 3.5 L.,CIEL:82384,povidone iodine,,
060.066.0666,"IODOPOVIDONA SOLUCION  CADA  100 ML CONTIENEN  IODOPOVIDONA 11 G., EQUIVALENTE A 1.1 G DE YODO. ENVASE CON 3.5 ML.",ENVASE CON 3.5 L,CIEL:82384,povidone iodine,,
010.000.4097.00,"IRBESARTÁN  - HIDROCLOROTIAZIDA DE 150 MG/12.5  MG, TABLETA,  ENVASE CON 28 TABLETAS.",ENVASE CON 28 TABLETAS.,CIEL:104831,,,
010.000.2024.00,"ISOCONAZOL, NITRATO DE DE 1 G / 100 G, CREMA, ENVASE CON 20 G.",ENVASE CON 20 G,CIEL:78251,isoconazole,95,
010.000.2418.00,"ISONIAZIDA   -  RIFAMPICINA-PIRAZINAMIDA  -  CLORHIDRATO  DE  ETAMBUTOL DE 75 MG/150 MG/400 MG/300 MG, TABLETA, ENVASE CON 240 TABLETAS.",240 TABLETAS,PIH:656,isoniazid,95,
010.000.2417.00,"ISONIAZIDA   Y  RIFAMPICINA   DE  400   MG/300   MG,   TABLETA   RECUBIERTA, ENVASE CON 90 TABLETAS RECUBIERTAS.",90 TABLETAS RECUBIERTAS,PIH:656,isoniazid,90,
010.000.2404.00,"ISONIAZIDA  DE 100 MG, TABLETA, ENVASE CON 200 TABLETAS.",200 TABLETAS,PIH:656,isoniazid,95,
010.000.0592.00,"ISOSORBIDA,  DINITRATO  DE DE 5 MG, TABLETA  SUBLINGUAL,  ENVASE  CON 20 TABLETAS SUBLINGUALES.",20 TABLETAS SUBLINGUALES,PIH:3428,isosorbide dinitrate,81,
010.000.0593.00,"ISOSORBIDA,  DINITRATO DE DE 10 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:3428,isosorbide dinitrate,81,
010.000.2018.00,"ITRACONAZOL DE 100 MG, CÁPSULA, ENVASE CON 15 CÁPSULAS.",15 CÁPSULAS,CIEL:78338,itraconazole,96,
S/C,JABON CON CLORHEXIDINA AL 4 % ANTISEPTICO  DE AMPLIO ESPECTRO  CON ACCION  INTERMEDIA   Y  PROLONGADA  PARA  LAVADO  DE  MANOS INGREDIENTE ACTIVO AL 4 % P/V 946 ML PIEZA,PIEZA,CIEL:73265,chlorhexidine gluconate,,
060.543.0115,JALEA LUBRICANTE.  ASÉPTICA.,ENVASE CON 135 G,CIEL:162138,lubricant jelly,,
010.000.2016.00,"KETOCONAZOL DE 200 MG, TABLETA, ENVASE CON 10 TABLETAS.",10 TABLETAS,PIH:926,ketoconazole,96,
010.000.2504.00,"KETOPROFENO DE 100 MG, CÁPSULA, ENVASE CON 15 CÁPSULAS.",15 CÁPSULAS,CIEL:78479,ketoprofen,95,
S/C,KETOROLACO TOMETAMINA  TABLETAS DE 10 MG,FRASCO DE 10 TABLETAS CON 10 MG,CIEL:78482,ketorolac tromethamine,73,
010.000.3504.00,"LEVONORGESTREL  Y   ETINILESTRADIOL  DE   0.15   MG/0.03   MG,   GRAGEA, ENVASE CON 21 GRAGEAS.",21 GRAGEAS,CIEL:162296,Levonorgestrel/Ethinylestradiol,,
010.000.3507.00,"LEVONORGESTREL  Y   ETINILESTRADIOL  DE   0.15   MG/0.03   MG,   GRAGEA, ENVASE CON 28 GRAGEAS (21 CON HORMONALES Y 7 SIN HORMONALES).",28 GRAGEAS (21 CON HORMONALES Y 7 SINHORMONALES),CIEL:162296,Levonorgestrel/Ethinylestradiol,,
010.000.4526.00,"LEVONORGESTREL DE 0.03 MG, GRAGEA, ENVASE CON 35 GRAGEAS.",35 GRAGEAS,PIH:1718,levonorgestrel,100,
010.000.2210.00,"LEVONORGESTREL DE 0.750  MG,  COMPRIMIDO  O TABLETA,  ENVASE  CON 2 COMPRIMIDOS O TABLETAS.",ENVASE CON 2 COMPRIMIDOS O TABLETAS.,PIH:1718,levonorgestrel,100,
010.000.0264.00,"LIDOCAÍNA  DE 10.0 G / 100 ML, SOLUCIÓN  AL 10%, ENVASE  CON 115 ML CON ATOMIZADOR  MANUAL.",115 ML CON ATOMIZADOR  MANUAL,CIEL:78849,lidocaine,82,
SIN CLAVE,LIDOCAINA-HIDROCORTISONA UNGÜENTO  50 MG/2.5 MG/1G,ENVASE,CIEL:104859,,,
010.000.0261.00,"LIDOCAÍNA,    CLORHIDRATO  DE   (GT3)   DE   500   MG   /   50   ML,   SOLUCIÓN INYECTABLE  AL 1%, ENVASE CON 5 FRASCOS ÁMPULA DE 50 ML.",5 FRASCOS ÁMPULA CON 50 ML,CIEL:78849,lidocaine,82,
010.000.0262.00,"LIDOCAÍNA,  CLORHIDRATO DE DE 1 G / 50 ML, SOLUCIÓN  INYECTABLE  AL 2%, ENVASE CON 5 FRASCOS ÁMPULA CON 50 ML.",5 FRASCOS ÁMPULA CON 50 ML,CIEL:78849,lidocaine,82,
010.000.0265.00,"LIDOCAÍNA,  CLORHIDRATO DE,  EPINEFRINA  DE  1  G  / (1:200000)  / 0.25  MG, SOLUCIÓN  INYECTABLE  AL  2%,  ENVASE  CON  5 FRASCOS  ÁMPULA  CON  50 ML.",5 FRASCOS ÁMPULA CON 50 ML,CIEL:104584,,,
010.000.0267.00,"LIDOCAÍNA,  CLORHIDRATO DE, EPINEFRINA  DE 36 MG / (1:100000)  / 0.018 MG, SOLUCIÓN INYECTABLE  AL 2%, ENVASE CON 50 CARTUCHOS  DENTALES  CON 1.8 ML.",50 CARTUCHOS DENTALES  CON 1.8 ML,CIEL:104584,,,
010.000.0263.00,"LIDOCAÍNA,  CLORHIDRATO DE, GLUCOSA  MONOHIDRATADA DE 100 MG / 2 ML / 150 MG, SOLUCIÓN  INYECTABLE  AL 5%, ENVASE CON 50 AMPOLLETAS CON 2 ML.",50 AMPOLLETAS CON 2 ML,CIEL:104735,,,
010.000.2501.00,"LISINOPRIL  DE 10 MG, CÁPSULA  O TABLETA,  ENVASE  CON 30 CÁPSULAS  O TABLETAS.",30 CÁPSULAS  O TABLETAS,PIH:3183,lisinopril,100,
010.000.4184.00,LOPERAMIDA  TABLETA CADA COMPRIMIDO  TABLETAS  O GRAGEA CONTIENE: CLORHIDRATO DE LOPERAMIDA  2 MG.,ENVASE CON 12 TABLETAS.,CIEL:79038,,,
010.000.4184.00,"LOPERAMIDA,   CLORHIDRATO   DE   DE   2   MG,   COMPRIMIDO,   TABLETA   O GRAGEA, ENVASE CON 12 COMPRIMIDOS, TABLETAS O GRAGEAS.","12 COMPRIMIDOS, TABLETAS O GRAGEAS",CIEL:79038,loperamide hydrochloride,81,
010.000.2144.00,"LORATADINA  DE 10 MG, TABLETA  O GRAGEA,  ENVASE  CON 20 TABLETAS  O GRAGEAS.",20 TABLETAS O GRAGEAS,CIEL:79053,loratadine,90,
SIN CLAVE,LORATADINA  JARABE 5MG/5ML.,ENVASE,CIEL:79053,loratadine,,
2520,LOSARTAN GRAGEA 50 MG,GRAGEA,CIEL:79074,losartan,,
010.000.5359.00,"MAGNESIO,    VALPROATO    DE    DE    600    MG,    TABLETA    DE    LIBERACIÓN PROLONGADA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:79224,magnesium,82,
010.000.2622.00,"MAGNESIO,   VALPROATO   DE  (ÁCIDO  VALPROICO)   DE  185.6  MG  /  200  MG, TABLETA CON CUBIERTA ENTÉRICA,  ENVASE CON 40 TABLETAS.",40 TABLETAS,CIEL:79224,magnesium,82,
010.000.2623.00,"MAGNESIO,  VALPROATO  DE (ÁCIDO  VALPROICO)  DE 186 MG/ML,  SOLUCIÓN, ENVASE CON 40 ML.",ENVASE CON 40 ML,CIEL:79224,magnesium,82,
010.000.2136.00,"MEBENDAZOL DE 100 MG, TABLETA, ENVASE CON 6 TABLETAS.",6 TABLETAS,PIH:244,mebendazole,95,
010.000.3509.00,"MEDROXIPROGESTERONA, ACETATO  DE, ESTRADIOL,  CIPIONATO  DE DE 25 MG/5  MG/0.5  ML, SUSPENSIÓN  INYECTABLE,  ENVASE  CON UNA AMPOLLETA CON 0.5 ML.",AMPOLLETA  O JERINGA PRELLENADA CON  0.5 ML,CIEL:79494,medroxyprogesterone,89,
010.000.3423.00,"MELOXICAM  DE 15 MG, TABLETA, ENVASE CON 10 TABLETAS.",ENVASE CON 10 TABLETAS.,CIEL:79532,meloxicam,100,
060.630.0028,MERCURIO  TRIDESTILADO. QUIMICAMENE PURO. ENVASE CON 250 G.,ENVASE CON 250 G,CIEL:79605,mercury,,
010.000.0108.00,"METAMIZOL     SÓDICO     DE    500    MG,    COMPRIMIDO,    ENVASE     CON    10 COMPRIMIDOS.",10 COMPRIMIDOS,CIEL:75047,DIPYRONE,,
010.000.0109.00,"METAMIZOL  SÓDICO  DE 1 G / 2 ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON 3 AMPOLLETAS CON 2 ML.",3 AMPOLLETAS CON 2 ML,CIEL:75047,DIPYRONE,,
010.000.5165.00,"METFORMINA,  CLORHIDRATO  DE  DE  850  MG,  TABLETA,   ENVASE   CON  30 TABLETAS.",30 TABLETAS,CIEL:79652,metformin hydrochloride,81,
010.000.3444.00,"METOCARBAMOL DE 400 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:79696,methocarbamol,96,
010.000.1243.00,"METOCLOPRAMIDA,  CLORHIDRATO  DE  DE  4  MG/ML,   SOLUCIÓN,   ENVASE FRASCO GOTERO CON 20 ML.",FRASCO GOTERO CON 20 ML,CIEL:79757,metoclopramide hydrochloride,84,
010.000.1241.00,"METOCLOPRAMIDA, CLORHIDRATO DE  DE  10  MG,  SOLUCIÓN  INYECTABLE, ENVASE CON 6 AMPOLLETAS DE 2 ML.",6 AMPOLLETAS CON 2 ML,CIEL:79757,metoclopramide hydrochloride,84,
010.000.1242.00,"METOCLOPRAMIDA, CLORHIDRATO DE DE 10 MG, TABLETA,  ENVASE  CON 20 TABLETAS.",20 TABLETAS,CIEL:79757,metoclopramide hydrochloride,84,
010.000.0572.00,"METOPROLOL,  TARTRATO   DE   DE   100   MG,   TABLETA,   ENVASE   CON   20 TABLETAS.",20 TABLETAS,CIEL:79767,METOPROLOL TARTRATE,,
010.000.1561.00,"METRONIDAZOL DE 500  MG,  ÓVULO  O TABLETA  VAGINAL,  ENVASE  CON  10 ÓVULOS O TABLETAS.",10 ÓVULOS O TABLETAS VAGINALES,PIH:237,metronidazole,96,
010.000.1308.00,"METRONIDAZOL DE 500 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:237,metronidazole,96,
010.000.1308.01,"METRONIDAZOL DE 500 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,PIH:237,metronidazole,96,
010.000.1310.00,"METRONIDAZOL,  BENZOILO   DE  DE  250  MG  /  5  ML,  SUSPENSIÓN   ORAL, ENVASE CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:79783,METRONIDAZOLE BENZOATE,,
010.000.0891.00,"MICONAZOL,  NITRATO DE DE 20 MG / G, CREMA, ENVASE CON 20 G.",ENVASE CON 20 G,PIH:918,miconazole nitrate,90,
SIN CLAVE,MISOPROSTROL CADA  TABLETA  CONTIENE:  MISOPROSTOL 200 µG  ENVASE CON 28 COMPRIMIDOS,ENVASE CON 28 COMPRIMIDOS.,CIEL:79984,misoprostol,90,
010.000.4141.00,"MOMETASONA, MONOHIDRATADA FUROATO  DE  (GT18)  DE  0.050  G/100  ML, SUSPENSIÓN    PARA   INHALACIÓN,    ENVASE   NEBULIZADOR  CON   18   ML   Y VÁLVULA DOSIFICADORA (140 NEBULIZACIONES DE 50 µG CADA UNA).",ENVASE NEBULIZADOR CON 18 ML Y VÁLVULA DOSIFICADORA (140 NEBULIZACIONES DE 50 µG CADA UNA).,CIEL:80049,mometasone,90,
010.000.5383.00,"MULTIVITAMINAS (POLIVITAMINAS) Y MINERALES  DE VITAMINA  A, 2500 UI, D2, 200  UI,  E,  15.0  MG,  C,  60  MG,  TIAMINA,   1.05  MG,  RIBOFLAVINA,  1.2  MG, PIRIDOXINA,  1.05 MG, CIANOCOBALAMINA, 4.5 µG, NICOTINAMINA, 13.5 MG Y HIERRO    ELEMENTAL    10   MG/5   ML,   JARABE,    ENVASE    CON   240   ML   Y DOSIFICADOR.",ENVASE CON 240 ML,PIH:461,multivitamin,92,
010.000.2804.00,"NAFAZOLINA,    CLORHIDRATO   DE   DE   1   MG/ML,    SOLUCIÓN    OFTÁLMICA, ENVASE CON GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,CIEL:80384,naphazoline,76,
010.000.3419.00,"NAPROXENO  DE 125 MG/ 5 ML, SUSPENSIÓN  ORAL, ENVASE CON 100 ML.",ENVASE CON 100 ML,CIEL:80395,naproxen,94,
010.000.3407.00,"NAPROXENO  DE 250 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:80395,naproxen,94,
010.000.2823.00,"NEOMICINA,   SULFATO  DE,  POLIMIXINA   B,  SULFATO  DE  Y  GRAMICIDINA   DE 1.75  MG/5  000  U/25  µG/ML.,  SOLUCIÓN  OFTÁLMICA,   ENVASE  CON  GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,CIEL:80514,neomycin,82,
010.000.0597.00,"NIFEDIPINO   DE  10  MG,  CÁPSULA  DE  GELATINA  BLANDA,  ENVASE  CON  20 CÁPSULAS.",20 CÁPSULAS,PIH:250,nifedipine,90,
010.000.0599.00,"NIFEDIPINO  DE 30 MG, COMPRIMIDO  DE LIBERACIÓN  PROLONGADA, ENVASE CON 30 COMPRIMIDOS.",30 COMPRIMIDOS,PIH:250,nifedipine,90,
010.000.1566.00,"NISTATINA   DE  100  000  UI,  ÓVULO  O  TABLETA  VAGINAL,  ENVASE  CON  12 ÓVULOS O TABLETAS.",12 ÓVULOS O TABLETAS VAGINALES,PIH:919,nystatin,82,
010.000.4260.00,"NISTATINA DE 2 400 000 UI / 24 ML, SUSPENSIÓN  ORAL, ENVASE PARA 24 ML.",ENVASE PARA 24 ML,PIH:919,nystatin,82,
SIN CLAVE,"NISTATINA SUSPENSION  ORAL 100,000 UI/ML.",ENVASE,PIH:919,nystatin,,
010.000.2524.00,"NITAZOXANIDA DE 100 MG/5 ML, SUSPENSIÓN  ORAL, ENVASE CON 30 ML.",ENVASE CON 30 ML,CIEL:80675,nitazoxanide,92,
010.000.2519.00,"NITAZOXANIDA DE 200 MG, TABLETA, ENVASE CON 6 TABLETAS.",6 TABLETAS,CIEL:80675,nitazoxanide,92,
010.000.1562.00,"NITROFURAL  DE 6 MG, ÓVULO, ENVASE CON 6 ÓVULOS.",6 ÓVULOS,CIEL:80701,nitrofurazone,78,
010.000.1911.00,"NITROFURANTOÍNA DE 100 MG, CÁPSULA, ENVASE CON 40 CÁPSULAS.",40 CÁPSULAS,CIEL:80696,nitrofurantoin,93,
010.000.5302.00,"NITROFURANTOÍNA DE 500 MG/100 ML, SUSPENSIÓN  ORAL, ENVASE CON 120 ML (25 MG/5 ML).",ENVASE CON 120 ML,CIEL:80696,nitrofurantoin,93,
SIN CLAVE,NITROFURANTOINA SUSPENSION  25MG/5ML.,ENVASE,CIEL:80696,nitrofurantoin,,
010.000.3511.00,"NORELGESTROMINA Y ETINILESTRADIOL DE 6 MG/0.60 MG, PARCHE, ENVASE CON 3 PARCHES.",3 PARCHES,CIEL:104626,ethinyl estradiol / norelgestromin,74,
010.000.0804.00,"ÓXIDO DE ZINC DE 25. 0 G / 100 G, PASTA, ENVASE CON 30 G.",ENVASE CON 30 G,PIH:4064,,,
010.000.0106.00,"PARACETAMOL  DE  100  MG  /  ML,  SOLUCIÓN   ORAL,  ENVASE  CON  15  ML, GOTERO  CALIBRADO  A 0.5 Y 1 ML, INTEGRADO  O ADJUNTO  AL ENVASE  QUE SIRVE DE TAPA.",ENVASE CON GOTERO 15 ML,PIH:89,paracetamol,100,
010.000.0514.02,"PARACETAMOL DE 100 MG, SUPOSITORIO, ENVASE CON 10 SUPOSITORIOS.",10 SUPOSITORIOS,PIH:89,paracetamol,100,
010.000.0514.00,"PARACETAMOL DE 100 MG, SUPOSITORIO, ENVASE CON 3 SUPOSITORIOS.",3 SUPOSITORIOS,PIH:89,paracetamol,100,
010.000.0514.01,"PARACETAMOL DE 100 MG, SUPOSITORIO, ENVASE CON 6 SUPOSITORIOS.",6 SUPOSITORIOS,PIH:89,paracetamol,100,
010.000.0105.00,"PARACETAMOL DE 300 MG, SUPOSITORIO, ENVASE CON 3 SUPOSITORIOS.",3 SUPOSITORIOS,PIH:89,paracetamol,100,
010.000.0104.00,"PARACETAMOL DE 500 MG, TABLETA, ENVASE CON 10 TABLETAS.",10 TABLETAS,PIH:89,paracetamol,100,
010.000.5481.00,"PAROXETINA,  CLORHIDRATO  DE  DE  20  MG,   TABLETA,   ENVASE   CON  10 TABLETAS.",10 TABLETAS,CIEL:81604,paroxetine,90,
010.000.0865.00,"PERMETRINA  DE 1 G/100 ML, SOLUCIÓN,  ENVASE CON 110 ML.",ENVASE CON 110 ML,CIEL:81834,permethrin,90,
010.000.2138.00,"PIRANTEL,  PAMOATO DE DE 250 MG, TABLETA, ENVASE CON 6 TABLETAS.",6 TABLETAS,CIEL:82898,pyrantel,88,
010.000.2413.00,"PIRAZINAMIDA DE 500 MG, TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,PIH:5829,pyrazinamide,83,
010.000.5232.00,"PIRIDOXINA  DE 300 MG, TABLETA, ENVASE CON 10 TABLETAS.",10 TABLETAS,CIEL:82912,pyridoxine,80,
010.000.3415.00,PIROXICAM  CAPSULA O TABLETA 20 MG.,ENVASE CON 20 CAPSULAS  O TABLETAS.,CIEL:82163,piroxicam,,
010.000.1271.00,"PLÁNTAGO  PSYLLIUM DE 49.7 G/100 G, POLVO, ENVASE CON 400 G.",ENVASE CON 400 G,CIEL:82862,psyllium,,
010.000.0901.00,"PODOFILINA,  RESINA  DE DE 250 MG / ML, SOLUCIÓN  DÉRMICA,  ENVASE CON 5 ML.",ENVASE CON 5 ML,CIEL:82228,podophyllin,,
010.000.2040.00,"PRAZICUANTEL DE 600 MG, TABLETA, ENVASE CON 25 TABLETAS.",25 TABLETAS,CIEL:82416,praziquantel,92,
010.000.0472.00,"PREDNISONA  (GT12) DE 5 MG, TABLETA, ENVASE CON 20 TABLETAS",20 TABLETAS,CIEL:82453,prednisone,90,
010.000.0473.00,"PREDNISONA  DE 50 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:82453,prednisone,90,
010.000.2032.00,"PRIMAQUINA,  FOSFATO DE DE 15 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:82521,primaquine,90,
010.000.2031.00,"PRIMAQUINA,  FOSFATO DE DE 5 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:82521,primaquine,90,
010.000.0539.00,"PROPRANOLOL,  CLORHIDRATO  DE  DE  10  MG,  TABLETA,  ENVASE  CON  30 TABLETAS.",30 TABLETAS,CIEL:82734,propranolol hydrochloride,90,
010.000.0530.00,"PROPRANOLOL,  CLORHIDRATO  DE  DE  40  MG,  TABLETA,  ENVASE  CON  30 TABLETAS.",30 TABLETAS,CIEL:82734,propranolol hydrochloride,90,
010.000.1314.00,QUINFAMIDA  TABLETA 300 MG,ENVASE CON 1 TABLETA,CIEL:83014,quinfamide,71,
010.000.1233.00,"RANITIDINA,   CLORHIDRATO DE  DE  150  MG,  GRAGEA  O  TABLETA,  ENVASE CON 20 GRAGEAS O TABLETAS.",20 GRAGEAS O TABLETAS,PIH:923,ranitidine,90,
010.000.2151.00,"RANITIDINA,  CLORHIDRATO DE DE 150 MG/10 ML, JARABE,  ENVASE  CON 200 ML.",ENVASE 200 ML,PIH:923,ranitidine,90,
010.000.2410.00,"RIFAMPICINA  DE 100 MG / 5 ML, SUSPENSIÓN  ORAL,  ENVASE  CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:767,Rifampin,,
